,text
142,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
143,"Looks like you found something to do other than smoke, great job!"
144,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
145,I had askd u a question some hours before. Its answer
146,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
147,Dont pick up d call when something important is There to tell. Hrishi
148,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
149,Missing you too.pray inshah allah
150,HELLO PEACH! MY CAKE TASTS LUSH!
151,Guessin you ain't gonna be here before 9?
152,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
153,"Probably not, still going over some stuff here"
154,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
155,Dude ive been seeing a lotta corvettes lately
156,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
157,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
158,COME BACK TO TAMPA FFFFUUUUUUU
159,I can do that! I want to please you both inside and outside the bedroom...
160,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
161,Oh is it? Send me the address
162,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
163,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
164,Was the farm open?
165,Speaking of does he have any cash yet?
166,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
167,Lmao ok I wont be needing u to do my hair anymore.
168,My uncles in Atlanta. Wish you guys a great semester.
169,Ultimately tor motive tui achieve korli.
170,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
171,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
172,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
173,I emailed yifeng my part oredi.. Can Ì_ get it fr him..
174,No objection. My bf not coming.
175,Just come home. I don't want u to be miserable
176,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
177,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born"
178,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
179,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
180,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
181,"see you then, we're all christmassy here!"
182,"K I'll head out in a few mins, see you there"
183,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
184,I guess it is useless calling u 4 something important.
185,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
186,I cant pick the phone right now. Pls send a message
187,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
188,Thanks for looking out for me. I really appreciate.
189,Going to join tomorrow.
190,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412
191,He says hi and to get your ass back to south tampa (preferably at a kegger)
192,The wine is flowing and i'm i have nevering..
193,Cant think of anyone with * spare room off * top of my head
194,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
195,What happened to our yo date?
196,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
197,What happen to her tell the truth
198,"Nothing, i got msg frm tht unknown no.."
199,You could have seen me..i did't recognise you Face.:)
200,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
201,Did he just say somebody is named tampa
202,Yo theres no class tmrw right?
203,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
204,Yes. that will be fine. Love you. Be safe.
205,Keep my payasam there if rinu brings
206,What you need. You have a person to give na.
207,Aiyah u did ok already lar. E nydc at wheellock?
208,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
209,Not from this campus. Are you in the library?
210,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
211,Surly ill give it to you:-) while coming to review.
212,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
213,"Pls send me a comprehensive mail about who i'm paying, when and how much."
214,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
215,"Me not waking up until 4 in the afternoon, sup"
216,Let me know when you've got the money so carlos can make the call
217,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 "
218,K:)i will give my kvb acc details:)
219,Ok. How many should i buy.
220,No calls..messages..missed calls
221,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
222,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
223,S now only i took tablets . Reaction morning only.
224,My sister got placed in birla soft da:-)
225,"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\"""""
226,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
227,Can not use foreign stamps in this country. Good lecture .
228,Mom wants to know where you at
229,Early bird! Any purchases yet?
230,Bring it if you got it
231,Okie...
232,"Hiya, had a good day? Have you spoken to since the weekend?"
233,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
234,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
235,Try to do something dear. You read something for exams
236,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
237,What???? Hello wats talks email address?
238,I'm reaching home in 5 min.
239,I though we shd go out n have some fun so bar in town or something ÛÒ sound ok?
240,I'm okay. Chasing the dream. What's good. What are you doing next.
241,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630
242,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
243,ELLO BABE U OK?
244,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
245,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
246,I'm home. Doc gave me pain meds says everything is fine.
247,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
248,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
249,"Yeah, give me a call if you've got a minute"
250,Where are you lover ? I need you ...
251,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
252,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
253,Please don't text me anymore. I have nothing else to say.
254,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
255,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
256,Hi. Hope you had a good day. Have a better night.
257,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
258,"Hmm well, night night "
259,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
260,It's justbeen overa week since we broke up and already our brains are going to mush!
261,I dont thnk its a wrong calling between us
262,"[Û_] anyway, many good evenings to u! s"
263,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
264,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
265,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
266,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
267,Are you still playing with gautham?
268,So no messages. Had food?
269,Is that what time you want me to come?
270,K..give back my thanks.
271,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+"
272,Enjoy ur life. . Good night
273,Have a good evening! Ttyl
274,I have to take exam with march 3
275,Aiyah ok wat as long as got improve can already wat...
276,S:-)if we have one good partnership going we will take lead:)
277,did u get that message
278,U can call now...
279,Tell them u have a headache and just want to use 1 hour of sick time.
280,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
281,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
282,What time. IÛ÷m out until prob 3 or so
283,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\"""""
284,"As usual..iam fine, happy &amp; doing well..:)"
285,Nope watching tv at home... Not going out. V bored...
286,PS U no ur a grown up now right?
287,"K, wat s tht incident?"
288,Are u awake? Is there snow there?
289,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
290,You intrepid duo you! Have a great time and see you both soon. 
291,Am in gobi arts college
292,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
293,Do I? I thought I put it back in the box
294,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
295,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
296,Easy ah?sen got selected means its good..
297,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that
298,K.k.how is your business now?
299,Probably earlier than that if the station's where I think it is
300,"Sorry,in meeting I'll call later"
301,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
302,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
303,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
304,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
305,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit"""
306,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
307,Sounds great! Are you home now?
308,K.then any other special?
309, what number do u live at? Is it 11?
310,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
311,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week
312,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
313,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
314,Did u got that persons story
315,Yeah we do totes. When u wanna?
316,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
317,If I was I wasn't paying attention
318,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*"
319,Then u drive lor.
320,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
321,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
322,Shopping lor. Them raining mah hard 2 leave orchard.
323,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
324,Ok. So april. Cant wait
325,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
326,"Yes, my reg is  Ciao!"
327,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
328,I told your number to gautham..
329,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
330,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
331,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
332,Do have a nice day today. I love you so dearly.
333,Not a drop in the tank
334,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
335,Oh k :)why you got job then whats up?
336,Indeed and by the way it was either or - not both !
337,"Sorry, I'll call later ok bye"
338,Hi Harish's rent has been transfred to ur Acnt.
339,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
340,Do you hide anythiing or keeping distance from me
341,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
342,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""
343,hanks lotsly!
344,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99
345,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
346,Yup
347,Lol they don't know about my awesome phone. I could click delete right now if I want.
348,No current and food here. I am alone also
349,You got job in wipro:)you will get every thing in life in 2 or 3 years.
350,I will be gentle princess! We will make sweet gentle love...
351,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
352,Yay! You better not have told that to 5 other girls either.
353,Esplanade lor. Where else...
354,Thanks for this hope you had a good day today
355,Hmmm.but you should give it on one day..
356,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
357,I enjoy watching and playing football and basketball. Anything outdoors. And you?
358,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
359,Good evening! this is roger. How are you?
360,Ok. No wahala. Just remember that a friend in need ...
361,I accidentally brought em home in the box
362,"Aight will do, thanks again for comin out"
363,Hey tmr maybe can meet you at yck
364,I'm not. She lip synced with shangela.
365,Pls she needs to dat slowly or she will vomit more.
366,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
367,Hi :)finally i completed the course:)
368,When/where do I pick you up
369,Yes its possible but dint try. Pls dont tell to any one k
370,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
